STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,sex,Sex,age,Age class,unit,Unit of measure,isced11,International Standard Classification of Education (ISCED 2011),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:SDG_04_20(1.0),Persons aged 25-34 with tertiary educational attainment level,A,Annual,T,Total,Y25-34,From 25 to 34 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),LU,Luxembourg,2013,,48.1,,,,,
dataflow,ESTAT:SDG_04_20(1.0),Persons aged 25-34 with tertiary educational attainment level,A,Annual,T,Total,Y25-34,From 25 to 34 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),LU,Luxembourg,2014,,52.9,,b,break in time series,,
dataflow,ESTAT:SDG_04_20(1.0),Persons aged 25-34 with tertiary educational attainment level,A,Annual,T,Total,Y25-34,From 25 to 34 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),LU,Luxembourg,2015,,50.3,,b,break in time series,,
dataflow,ESTAT:SDG_04_20(1.0),Persons aged 25-34 with tertiary educational attainment level,A,Annual,T,Total,Y25-34,From 25 to 34 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),LU,Luxembourg,2016,,51.5,,,,,
dataflow,ESTAT:SDG_04_20(1.0),Persons aged 25-34 with tertiary educational attainment level,A,Annual,T,Total,Y25-34,From 25 to 34 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),LU,Luxembourg,2017,,51.3,,u,low reliability,,
dataflow,ESTAT:SDG_04_20(1.0),Persons aged 25-34 with tertiary educational attainment level,A,Annual,T,Total,Y25-34,From 25 to 34 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),LU,Luxembourg,2018,,53.7,,,,,
dataflow,ESTAT:SDG_04_20(1.0),Persons aged 25-34 with tertiary educational attainment level,A,Annual,T,Total,Y25-34,From 25 to 34 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),LU,Luxembourg,2019,,56.1,,,,,
dataflow,ESTAT:SDG_04_20(1.0),Persons aged 25-34 with tertiary educational attainment level,A,Annual,T,Total,Y25-34,From 25 to 34 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),LU,Luxembourg,2020,,60.6,,,,,
dataflow,ESTAT:SDG_04_20(1.0),Persons aged 25-34 with tertiary educational attainment level,A,Annual,T,Total,Y25-34,From 25 to 34 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),LU,Luxembourg,2021,,62.6,,b,break in time series,,
dataflow,ESTAT:SDG_04_20(1.0),Persons aged 25-34 with tertiary educational attainment level,A,Annual,T,Total,Y25-34,From 25 to 34 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),LU,Luxembourg,2022,,61.0,,,,,
dataflow,ESTAT:SDG_04_20(1.0),Persons aged 25-34 with tertiary educational attainment level,A,Annual,T,Total,Y25-34,From 25 to 34 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),LU,Luxembourg,2023,,60.2,,,,,
dataflow,ESTAT:SDG_04_20(1.0),Persons aged 25-34 with tertiary educational attainment level,A,Annual,T,Total,Y25-34,From 25 to 34 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),LU,Luxembourg,2024,,63.8,,,,,
dataflow,ESTAT:SDG_04_20(1.0),Persons aged 25-34 with tertiary educational attainment level,A,Annual,T,Total,Y25-34,From 25 to 34 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),LU,Luxembourg,2025,,65.0,,,,,
dataflow,ESTAT:SDG_04_20(1.0),Persons aged 25-34 with tertiary educational attainment level,A,Annual,T,Total,Y25-34,From 25 to 34 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),LV,Latvia,2000,,17.3,,,,,
dataflow,ESTAT:SDG_04_20(1.0),Persons aged 25-34 with tertiary educational attainment level,A,Annual,T,Total,Y25-34,From 25 to 34 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),LV,Latvia,2001,,16.6,,,,,
dataflow,ESTAT:SDG_04_20(1.0),Persons aged 25-34 with tertiary educational attainment level,A,Annual,T,Total,Y25-34,From 25 to 34 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),LV,Latvia,2002,,17.3,,b,break in time series,,
dataflow,ESTAT:SDG_04_20(1.0),Persons aged 25-34 with tertiary educational attainment level,A,Annual,T,Total,Y25-34,From 25 to 34 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),LV,Latvia,2003,,18.5,,,,,
dataflow,ESTAT:SDG_04_20(1.0),Persons aged 25-34 with tertiary educational attainment level,A,Annual,T,Total,Y25-34,From 25 to 34 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),LV,Latvia,2004,,19.7,,,,,
