STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,sex,Sex,hlth_hle,Health and life expectancy,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TPS00150(1.0),Healthy life years at birth by sex,A,Annual,YR,Year,T,Total,HLY_Y0,Healthy life years in absolute value at birth,CZ,Czechia,2024,,62.4,,,,,
dataflow,ESTAT:TPS00150(1.0),Healthy life years at birth by sex,A,Annual,YR,Year,T,Total,HLY_Y0,Healthy life years in absolute value at birth,DE,Germany,2013,,57.4,,,,,
dataflow,ESTAT:TPS00150(1.0),Healthy life years at birth by sex,A,Annual,YR,Year,T,Total,HLY_Y0,Healthy life years in absolute value at birth,DE,Germany,2014,,56.5,,,,,
dataflow,ESTAT:TPS00150(1.0),Healthy life years at birth by sex,A,Annual,YR,Year,T,Total,HLY_Y0,Healthy life years in absolute value at birth,DE,Germany,2015,,66.4,,b,break in time series,,
dataflow,ESTAT:TPS00150(1.0),Healthy life years at birth by sex,A,Annual,YR,Year,T,Total,HLY_Y0,Healthy life years in absolute value at birth,DE,Germany,2016,,66.4,,,,,
dataflow,ESTAT:TPS00150(1.0),Healthy life years at birth by sex,A,Annual,YR,Year,T,Total,HLY_Y0,Healthy life years in absolute value at birth,DE,Germany,2017,,66.0,,,,,
dataflow,ESTAT:TPS00150(1.0),Healthy life years at birth by sex,A,Annual,YR,Year,T,Total,HLY_Y0,Healthy life years in absolute value at birth,DE,Germany,2018,,65.8,,,,,
dataflow,ESTAT:TPS00150(1.0),Healthy life years at birth by sex,A,Annual,YR,Year,T,Total,HLY_Y0,Healthy life years in absolute value at birth,DE,Germany,2019,,66.3,,,,,
dataflow,ESTAT:TPS00150(1.0),Healthy life years at birth by sex,A,Annual,YR,Year,T,Total,HLY_Y0,Healthy life years in absolute value at birth,DE,Germany,2020,,65.7,,b,break in time series,,
dataflow,ESTAT:TPS00150(1.0),Healthy life years at birth by sex,A,Annual,YR,Year,T,Total,HLY_Y0,Healthy life years in absolute value at birth,DE,Germany,2021,,65.6,,,,,
dataflow,ESTAT:TPS00150(1.0),Healthy life years at birth by sex,A,Annual,YR,Year,T,Total,HLY_Y0,Healthy life years in absolute value at birth,DE,Germany,2022,,61.1,,bu,"break in time series, low reliability",,
dataflow,ESTAT:TPS00150(1.0),Healthy life years at birth by sex,A,Annual,YR,Year,T,Total,HLY_Y0,Healthy life years in absolute value at birth,DE,Germany,2023,,62.5,,b,break in time series,,
dataflow,ESTAT:TPS00150(1.0),Healthy life years at birth by sex,A,Annual,YR,Year,T,Total,HLY_Y0,Healthy life years in absolute value at birth,DE,Germany,2024,,62.4,,,,,
dataflow,ESTAT:TPS00150(1.0),Healthy life years at birth by sex,A,Annual,YR,Year,T,Total,HLY_Y0,Healthy life years in absolute value at birth,DK,Denmark,2013,,60.5,,,,,
dataflow,ESTAT:TPS00150(1.0),Healthy life years at birth by sex,A,Annual,YR,Year,T,Total,HLY_Y0,Healthy life years in absolute value at birth,DK,Denmark,2014,,60.9,,,,,
dataflow,ESTAT:TPS00150(1.0),Healthy life years at birth by sex,A,Annual,YR,Year,T,Total,HLY_Y0,Healthy life years in absolute value at birth,DK,Denmark,2015,,59.1,,,,,
dataflow,ESTAT:TPS00150(1.0),Healthy life years at birth by sex,A,Annual,YR,Year,T,Total,HLY_Y0,Healthy life years in absolute value at birth,DK,Denmark,2016,,60.3,,,,,
dataflow,ESTAT:TPS00150(1.0),Healthy life years at birth by sex,A,Annual,YR,Year,T,Total,HLY_Y0,Healthy life years in absolute value at birth,DK,Denmark,2017,,59.7,,,,,
dataflow,ESTAT:TPS00150(1.0),Healthy life years at birth by sex,A,Annual,YR,Year,T,Total,HLY_Y0,Healthy life years in absolute value at birth,DK,Denmark,2018,,60.9,,,,,
dataflow,ESTAT:TPS00150(1.0),Healthy life years at birth by sex,A,Annual,YR,Year,T,Total,HLY_Y0,Healthy life years in absolute value at birth,DK,Denmark,2019,,58.9,,,,,
dataflow,ESTAT:TPS00150(1.0),Healthy life years at birth by sex,A,Annual,YR,Year,T,Total,HLY_Y0,Healthy life years in absolute value at birth,DK,Denmark,2020,,58.0,,b,break in time series,,
dataflow,ESTAT:TPS00150(1.0),Healthy life years at birth by sex,A,Annual,YR,Year,T,Total,HLY_Y0,Healthy life years in absolute value at birth,DK,Denmark,2021,,56.6,,,,,
dataflow,ESTAT:TPS00150(1.0),Healthy life years at birth by sex,A,Annual,YR,Year,T,Total,HLY_Y0,Healthy life years in absolute value at birth,DK,Denmark,2022,,55.9,,,,,
dataflow,ESTAT:TPS00150(1.0),Healthy life years at birth by sex,A,Annual,YR,Year,T,Total,HLY_Y0,Healthy life years in absolute value at birth,DK,Denmark,2023,,56.3,,,,,
dataflow,ESTAT:TPS00150(1.0),Healthy life years at birth by sex,A,Annual,YR,Year,T,Total,HLY_Y0,Healthy life years in absolute value at birth,DK,Denmark,2024,,62.4,,b,break in time series,,
dataflow,ESTAT:TPS00150(1.0),Healthy life years at birth by sex,A,Annual,YR,Year,T,Total,HLY_Y0,Healthy life years in absolute value at birth,EE,Estonia,2013,,55.5,,,,,
dataflow,ESTAT:TPS00150(1.0),Healthy life years at birth by sex,A,Annual,YR,Year,T,Total,HLY_Y0,Healthy life years in absolute value at birth,EE,Estonia,2014,,55.2,,,,,
dataflow,ESTAT:TPS00150(1.0),Healthy life years at birth by sex,A,Annual,YR,Year,T,Total,HLY_Y0,Healthy life years in absolute value at birth,EE,Estonia,2015,,55.0,,,,,
dataflow,ESTAT:TPS00150(1.0),Healthy life years at birth by sex,A,Annual,YR,Year,T,Total,HLY_Y0,Healthy life years in absolute value at birth,EE,Estonia,2016,,56.8,,,,,
dataflow,ESTAT:TPS00150(1.0),Healthy life years at birth by sex,A,Annual,YR,Year,T,Total,HLY_Y0,Healthy life years in absolute value at birth,EE,Estonia,2017,,56.0,,,,,
dataflow,ESTAT:TPS00150(1.0),Healthy life years at birth by sex,A,Annual,YR,Year,T,Total,HLY_Y0,Healthy life years in absolute value at birth,EE,Estonia,2018,,53.9,,,,,
dataflow,ESTAT:TPS00150(1.0),Healthy life years at birth by sex,A,Annual,YR,Year,T,Total,HLY_Y0,Healthy life years in absolute value at birth,EE,Estonia,2019,,55.8,,,,,
